"Name","model.r_max","model.l_max","model.num_layers","model.num_tensor_features","model.num_scalar_features","model.allegro_mlp_hidden_layers_width","test0_epoch/forces_mae","test0_epoch/forces_rmse","test0_epoch/per_atom_energy_mae","test0_epoch/per_atom_energy_rmse","test0_epoch/total_energy_mae","test0_epoch/stress_mae","test0_epoch/stress_rmse","test0_epoch/weighted_sum","val0_epoch/total_energy_mae","val0_epoch/stress_mae","val0_epoch/per_atom_energy_mae","val0_epoch/forces_mae","val0_epoch/forces_rmse","val0_epoch/per_atom_energy_rmse","val0_epoch/stress_rmse","val0_epoch/weighted_sum"
"hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128_fold2_seed0","5","2","2","32","128","128","0.19975497414585025","0.3158931185512776","0.02435753550172678","0.03186906184319994","2.344702859925901","0.007861593610092352","0.015356416117641956","0.13432429056640197","2.4179118945479474","0.0077390076850256204","0.025287337304414563","0.20504260903099153","0.3194037355685187","0.037130396918771555","0.016755011748996608","0.13777490764446887"
"hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128_fold1_seed2","5","2","2","32","128","128","0.19647701770642576","0.303662669399923","0.02441384789327932","0.03342299631338683","2.299942848151457","0.007633116905789676","0.01501677950505596","0.13209332441920146","2.294102301422737","0.007477887548524205","0.024874431673961885","0.2068085668032629","0.3730155462973425","0.03362002506363265","0.01460750184333343","0.13884539421776598"
"hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128_fold1_seed1","5","2","2","32","128","128","0.19525493953485085","0.3166213100837717","0.024625830079280504","0.03246467035154515","2.3451400219924947","0.007576364081980548","0.014749119709391748","0.13127344616935968","2.3140105690933916","0.007445982557247435","0.024692047225352964","0.2050164454575895","0.37734205028349954","0.03354943555283128","0.014726514178169168","0.13765347215836862"
"hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128_fold1_seed0","5","2","2","32","128","128","0.19385748421864216","0.3067972613942375","0.02489123586860382","0.03348520062430972","2.3526754193534933","0.007582168653658586","0.014689051743543114","0.13035946925187072","2.3414480938483817","0.007385117924247033","0.02547235297432374","0.20348625097694636","0.3761669040925874","0.034365136537276304","0.014638864844874705","0.13663701118326077"
"hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128_fold0_seed2","5","2","2","32","128","128","0.20117493754105348","0.3137289520199958","0.024832382821875613","0.03544045024842547","2.3571227216585284","0.008144705613988817","0.016035670161118638","0.13535785395031935","2.3735649065030135","0.00868275266906337","0.025217388382084743","0.2085229457148584","0.35449846340086205","0.04701110374757912","0.03344167045898988","0.14037412487962617"
"hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128_fold0_seed1","5","2","2","32","128","128","0.20318600267497589","0.31813407407936234","0.02460775338339918","0.03215841941676063","2.347122572514441","0.007426552973521265","0.014622547590934247","0.13644173304566087","2.358555732843993","0.007652672351380511","0.025179866434744475","0.20941618340061896","0.34473220277748573","0.041362556189978986","0.017706529433248575","0.14062244533223958"
"hpo_102_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-32_mlp_width-128_fold0_seed0","5","2","2","32","128","128","0.1991424760655544","0.31192474614702803","0.02467254966020847","0.035338860068034245","2.306605341961145","0.008348665677334223","0.016024322071431913","0.13408569730093794","2.338663193100892","0.00885094744390325","0.025418630390450066","0.2059367469203656","0.3802123048511864","0.04103149277314229","0.02821108579900379","0.1387306534540304"
"hpo_101_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512_fold2_seed2","5","2","2","16","128","512","0.19693913694211312","0.3105626907771101","0.025500569869403703","0.035080349639281354","2.3997135520048505","0.007683877919070355","0.015590381094609107","0.1324283469072608","2.452950418776965","0.007632517830202942","0.026770832934127964","0.20221134013217448","0.31347319855592565","0.03947245789422305","0.016842464355102366","0.13589672085918322"
"hpo_101_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512_fold2_seed1","5","2","2","16","128","512","0.19552238799934096","0.3068187992492698","0.024357316949058957","0.03423426771372901","2.286073840843451","0.007567605401549326","0.01507519176472162","0.13144298489414263","2.37685149264951","0.007340212689075527","0.025410534690328408","0.20046931816692157","0.31316062486860274","0.038434904017650186","0.014759408461540136","0.13463660210872755"
"hpo_101_num_layers-2_l_max-2_num_scalar_features-128_num_tensor_features-16_mlp_width-512_fold2_seed0","5","2","2","16","128","512","0.1898956115483677","0.29883550331801306","0.024352802731754258","0.03271231842240411","2.2765628462263794","0.007275530602301634","0.01413631456788684","0.1276450216474695","2.3660178802071288","0.007266385827545874","0.02513237542582776","0.1946777810554611","0.3035668202582681","0.03647182079808536","0.015092004910625172","0.13079843518273063"
